"n_obs" "methods" "times" "errors"
"1" 100 "method1" 9.19772156392863 0.0234549468553202
"2" 100 "method1" 9.11983490448364 0.0320640336640188
"3" 100 "method1" 14.0003490966973 0.0280632898064333
"4" 100 "method1" 10.4648874344897 0.0241315294201604
"5" 100 "method1" 6.51943595365539 0.0279666013924072
"6" 100 "method1" 10.5667211703628 0.0185054936467078
"7" 100 "method1" 9.64971530748808 0.0241928210346426
"8" 100 "method1" 8.69543789694077 0.0204264741511552
"9" 100 "method1" 8.3341276637428 0.017652976853888
"10" 100 "method1" 8.77273929023463 0.0313934813204411
"11" 100 "method1" 13.2534601352472 0.021591691246246
"12" 100 "method1" 12.9213176892577 0.0268969615503076
"13" 100 "method1" 14.070557224449 0.0195639547148658
"14" 100 "method1" 12.811027392279 0.0222358955092944
"15" 100 "method1" 9.23827843346408 0.0217397751539586
"16" 100 "method1" 11.494766258122 0.0182817077233375
"17" 100 "method1" 10.630299353981 0.0205694781593912
"18" 100 "method1" 11.0711115700931 0.026977716419639
"19" 100 "method1" 12.0613013792484 0.0299818755199996
"20" 100 "method1" 12.8781639762389 0.0301217179759734
"21" 100 "method1" 3.73163356740685 0.0158365656939168
"22" 100 "method1" 11.8211070561139 0.0291774331198813
"23" 100 "method1" 12.4675977174597 0.0237627871305439
"24" 100 "method1" 11.5656810327854 0.0262549380729191
"25" 100 "method1" 7.81420621667099 0.03779276154905
"26" 100 "method1" 10.7452653980209 0.0345034075066841
"27" 100 "method1" 12.0826838017709 0.0285333660117877
"28" 100 "method1" 12.3428285182149 0.0196501631915215
"29" 100 "method1" 9.5937806615942 0.0242488365035001
"30" 100 "method1" 8.23738908089612 0.0201713354716239
"31" 100 "method2" 11.936531207283 0.0181234558955542
"32" 100 "method2" 11.1254122021433 0.0329460417473668
"33" 100 "method2" 9.78174230738136 0.0288427260219689
"34" 100 "method2" 9.13361997483985 0.0167025122837631
"35" 100 "method2" 8.07742144727135 0.0245964011331411
"36" 100 "method2" 3.54412299768628 0.0327811218470697
"37" 100 "method2" 13.042546134169 0.0278956529367268
"38" 100 "method2" 11.7704681481387 0.0206895867058947
"39" 100 "method2" 7.30417474283663 0.0225784406056264
"40" 100 "method2" 11.287382137184 0.0330424810654019
"41" 100 "method2" 11.8607771943398 0.0341419236998416
"42" 100 "method2" 9.42317678917783 0.0175037813572828
"43" 100 "method2" 9.94626400734773 0.0299101169353717
"44" 100 "method2" 14.5691470856069 0.022072231729704
"45" 100 "method2" 10.0458119382575 0.0256110919840536
"46" 100 "method2" 15.3518465124342 0.0220189390140538
"47" 100 "method2" 11.6046847965934 0.024089979081505
"48" 100 "method2" 8.9070707725587 0.0251835397452967
"49" 100 "method2" 12.3891177894848 0.0207216386353429
"50" 100 "method2" 12.5534360994551 0.0221357554460264
"51" 100 "method2" 7.70381449410594 0.0219203819305363
"52" 100 "method2" 9.46676855076952 0.0231662142009577
"53" 100 "method2" 11.2906612992482 0.0198273949734478
"54" 100 "method2" 6.97913075128681 0.0216542273645449
"55" 100 "method2" 14.6270468282051 0.0197144579212646
"56" 100 "method2" 12.230086435188 0.0180087368126666
"57" 100 "method2" 11.799389902588 0.0338775997249111
"58" 100 "method2" 12.8611870205719 0.0339933292730196
"59" 100 "method2" 9.01617426578613 0.0288468236375758
"60" 100 "method2" 8.89677629799264 0.0309904017659715
"61" 100 "method3" 9.34945413644612 0.0256143369736694
"62" 100 "method3" 7.53405161895295 0.0324097127044422
"63" 100 "method3" 9.05369625170774 0.0260552438115923
"64" 100 "method3" 8.96327799869367 0.0271523029579448
"65" 100 "method3" 4.60719638818573 0.0279518234559663
"66" 100 "method3" 7.27192401995955 0.0314223821078727
"67" 100 "method3" 8.63849004885767 0.0229281245185507
"68" 100 "method3" 11.4035306321048 0.0283018621576494
"69" 100 "method3" 11.8856732748974 0.0195020760021483
"70" 100 "method3" 14.605345261469 0.0249339378065026
"71" 100 "method3" 9.38567636326479 0.0190087822892527
"72" 100 "method3" 8.96191879379482 0.0387144773283827
"73" 100 "method3" 3.7635420620295 0.022909662897343
"74" 100 "method3" 10.6817105070917 0.0358544890708783
"75" 100 "method3" 8.45629583604439 0.0217763622699828
"76" 100 "method3" 6.1824621731893 0.0188943791209649
"77" 100 "method3" 10.6686192989205 0.0275358397479199
"78" 100 "method3" 11.903665971689 0.0217987254545169
"79" 100 "method3" 4.33764003403959 0.0276723157239998
"80" 100 "method3" 14.4078890547846 0.0190524537377428
"81" 100 "method3" 8.57233300694397 0.0208372189188154
"82" 100 "method3" 12.4935219870951 0.0246510930945279
"83" 100 "method3" 10.1760901983936 0.0324133553353624
"84" 100 "method3" 8.76237299761256 0.0160982767719596
"85" 100 "method3" 6.2198290261346 0.0263989752760885
"86" 100 "method3" 9.58499266364725 0.0285783649403345
"87" 100 "method3" 8.86295880310745 0.0270373032673692
"88" 100 "method3" 7.89966319661115 0.0236324323770505
"89" 100 "method3" 13.984186246768 0.0286154515265145
"90" 100 "method3" 6.68115361523158 0.0174537402875066
"91" 200 "method1" 7.08571066138298 0.0105974706129505
"92" 200 "method1" 5.06838873982423 0.01459054772947
"93" 200 "method1" 7.23398161149973 0.014867841452745
"94" 200 "method1" 10.3985447407836 0.0144063245606816
"95" 200 "method1" 8.91674165887789 0.0110625103236514
"96" 200 "method1" 6.23955559886718 0.0147469112308939
"97" 200 "method1" 9.54927392492419 0.0104242108422817
"98" 200 "method1" 1.78928635068656 0.015358122744491
"99" 200 "method1" 5.27858063998503 0.013675936059277
"100" 200 "method1" 12.6394612804996 0.0128359605407137
"101" 200 "method1" 7.79481594235733 0.0109199032088916
"102" 200 "method1" 12.2197972857834 0.0145273920119704
"103" 200 "method1" 12.8011810646551 0.0142643902414015
"104" 200 "method1" 6.50442474087335 0.00830474004932382
"105" 200 "method1" 14.498894775071 0.01268912957476
"106" 200 "method1" 13.8356660281557 0.0146706325434117
"107" 200 "method1" 12.1143894805112 0.00658096435027085
"108" 200 "method1" 6.51309846634202 0.0109079167135706
"109" 200 "method1" 4.02869815923325 0.012221957264298
"110" 200 "method1" 10.2269760809159 0.0145915275657245
"111" 200 "method1" 14.1714608398135 0.0112835472062333
"112" 200 "method1" 10.3297059946496 0.0137371878764489
"113" 200 "method1" 12.3722810833311 0.00932737211303141
"114" 200 "method1" 6.5933139921175 0.0129701939869375
"115" 200 "method1" 10.2020031580854 0.00971395862923255
"116" 200 "method1" 9.75000852554143 0.014423978122845
"117" 200 "method1" 7.93032381608587 0.0125150542118214
"118" 200 "method1" 6.36384601931469 0.0087499218715097
"119" 200 "method1" 4.8920492944721 0.0121090452721175
"120" 200 "method1" 10.4076066892432 0.0105090072308289
"121" 200 "method2" 13.0293020850177 0.0101343085587654
"122" 200 "method2" 5.00237579943017 0.015626740155177
"123" 200 "method2" 11.5803446777908 0.010679409786705
"124" 200 "method2" 9.30521479991523 0.0143683006888149
"125" 200 "method2" 10.1299257907274 0.00883926611274678
"126" 200 "method2" 8.81258195726663 0.0126749246157849
"127" 200 "method2" 10.7103968053336 0.0150747643265269
"128" 200 "method2" 6.81521876227062 0.00997835544682358
"129" 200 "method2" 11.8279396435996 0.00626011002869907
"130" 200 "method2" 15.5121017791044 0.00908037233919582
"131" 200 "method2" 6.07063018281526 0.0130951704409528
"132" 200 "method2" 8.30016918456721 0.0128271167711729
"133" 200 "method2" 7.57320808639694 0.0115692399410351
"134" 200 "method2" 8.28273960528388 0.0119187497257961
"135" 200 "method2" 8.4169641780247 0.0120095416352494
"136" 200 "method2" 2.71700021718705 0.0133286010295319
"137" 200 "method2" 4.57969526953847 0.0174781771059922
"138" 200 "method2" 6.54527309001071 0.0132162200191506
"139" 200 "method2" 12.3736977505556 0.0128810764531151
"140" 200 "method2" 8.40620573686023 0.0153649540106217
"141" 200 "method2" 5.18236086462066 0.0120807026921773
"142" 200 "method2" 9.82034838853378 0.0157305524484434
"143" 200 "method2" 10.3178336345115 0.0125957560411633
"144" 200 "method2" 13.423418672048 0.014822352409564
"145" 200 "method2" 6.27506254138308 0.00989997251538653
"146" 200 "method2" 8.13648564146072 0.0134298478373634
"147" 200 "method2" 12.2770625849982 0.0139114407144765
"148" 200 "method2" 11.0874020057 0.0154564083219492
"149" 200 "method2" 12.586211254889 0.0121760817842836
"150" 200 "method2" 14.5006300382454 0.0099294399512765
"151" 200 "method3" 8.2910203934399 0.0107225455718325
"152" 200 "method3" 7.04185450853553 0.00941516802274928
"153" 200 "method3" 8.64768832027474 0.00974867451699379
"154" 200 "method3" 11.7253226580856 0.0144434336674234
"155" 200 "method3" 8.6666962595125 0.0137870751692898
"156" 200 "method3" 9.51880800159853 0.0134874490399769
"157" 200 "method3" 6.04184919260576 0.00901761070643894
"158" 200 "method3" 14.2954486134479 0.0134742333825812
"159" 200 "method3" 8.51202838480296 0.00917505553887685
"160" 200 "method3" 6.19205805798143 0.00857823566712546
"161" 200 "method3" 6.60330160427247 0.00926381117874289
"162" 200 "method3" 9.69281499475496 0.0185777200957201
"163" 200 "method3" 7.62678374867745 0.0120783914906412
"164" 200 "method3" 7.97699952533175 0.0145601147233988
"165" 200 "method3" 8.30960080883604 0.00729556046770395
"166" 200 "method3" 6.36424738627007 0.00795294964023203
"167" 200 "method3" 11.443544626086 0.0140927557065362
"168" 200 "method3" 11.0825059646701 0.00949618148096111
"169" 200 "method3" 15.3374972022021 0.0159282859050386
"170" 200 "method3" 12.0771222284887 0.0143019928795182
"171" 200 "method3" 10.4454868604289 0.0115056480143752
"172" 200 "method3" 10.2400847947516 0.0119991250084844
"173" 200 "method3" 10.1977960177869 0.0150089369603425
"174" 200 "method3" 15.0951595155503 0.0146405905404208
"175" 200 "method3" 6.94423003784446 0.0129055310632536
"176" 200 "method3" 7.57116556276227 0.0150666566340597
"177" 200 "method3" 8.90188699692125 0.0149461017459346
"178" 200 "method3" 9.97152560439054 0.0127809947003071
"179" 200 "method3" 10.2655934672466 0.0125613636984622
